sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3659;SDS011;1846;51.482;7.224;2020-04-09T00:00:20;17.87;;;14.40;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:03:33;15.67;;;14.20;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:06:25;23.90;;;15.90;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:09:43;24.13;;;17.20;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:12:18;21.80;;;13.80;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:18:13;16.77;;;13.73;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:21:00;19.93;;;16.07;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:23:32;19.10;;;14.00;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:26:01;20.93;;;15.40;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:28:31;18.87;;;16.10;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:31:00;17.53;;;15.57;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:33:45;18.33;;;15.43;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:42:17;18.53;;;16.17;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:44:46;17.10;;;15.40;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:47:18;16.93;;;15.13;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:49:49;16.27;;;14.67;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:55:30;16.43;;;14.70;;
3659;SDS011;1846;51.482;7.224;2020-04-09T00:58:11;16.93;;;14.77;;
3659;SDS011;1846;51.482;7.224;2020-04-09T01:03:42;18.40;;;16.00;;
3659;SDS011;1846;51.482;7.224;2020-04-09T01:12:23;25.97;;;19.07;;
3659;SDS011;1846;51.482;7.224;2020-04-09T01:14:54;24.80;;;18.97;;
3659;SDS011;1846;51.482;7.224;2020-04-09T01:29:36;19.43;;;17.07;;
3659;SDS011;1846;51.482;7.224;2020-04-09T01:32:08;19.17;;;17.07;;
3659;SDS011;1846;51.482;7.224;2020-04-09T01:34:39;21.73;;;17.57;;
3659;SDS011;1846;51.482;7.224;2020-04-09T01:37:10;18.63;;;16.73;;
3659;SDS011;1846;51.482;7.224;2020-04-09T01:42:40;18.50;;;16.60;;
3659;SDS011;1846;51.482;7.224;2020-04-09T01:45:18;18.53;;;16.73;;
3659;SDS011;1846;51.482;7.224;2020-04-09T01:48:02;19.67;;;17.70;;
3659;SDS011;1846;51.482;7.224;2020-04-09T01:50:39;19.10;;;16.47;;
