sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
3660;DHT22;1846;51.482;7.224;2021-07-30T02:50:05;18.10;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T02:52:32;18.10;73.00
3660;DHT22;1846;51.482;7.224;2021-07-30T02:54:59;18.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T02:57:25;18.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T02:59:52;18.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:02:19;18.20;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T03:04:45;18.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:07:13;18.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:09:40;18.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:12:07;18.00;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:14:34;17.90;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T03:17:01;17.80;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T03:19:27;17.70;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:21:54;17.70;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:24:23;17.70;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:26:49;17.70;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:29:16;17.70;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:31:43;17.60;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T03:34:13;17.60;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T03:36:39;17.50;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T03:39:06;17.40;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T03:41:34;17.40;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T03:44:01;17.30;75.60
3660;DHT22;1846;51.482;7.224;2021-07-30T03:46:28;17.30;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:48:54;17.30;99.10
3660;DHT22;1846;51.482;7.224;2021-07-30T03:51:21;17.20;44.10
3660;DHT22;1846;51.482;7.224;2021-07-30T03:53:48;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:56:15;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T03:58:44;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:01:11;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:03:38;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:06:06;17.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:08:33;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:11:00;17.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:13:27;17.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:16:00;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:18:27;17.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:20:53;17.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:23:20;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:25:47;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:28:13;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:30:40;17.20;90.50
3660;DHT22;1846;51.482;7.224;2021-07-30T04:33:08;17.20;95.60
3660;DHT22;1846;51.482;7.224;2021-07-30T04:35:36;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:38:02;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:40:29;17.20;90.10
3660;DHT22;1846;51.482;7.224;2021-07-30T04:42:56;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:45:23;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:47:50;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:50:18;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:52:45;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:55:12;17.30;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T04:57:38;17.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T05:00:06;17.30;79.60
3660;DHT22;1846;51.482;7.224;2021-07-30T05:02:33;17.30;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T05:04:59;17.40;5.60
3660;DHT22;1846;51.482;7.224;2021-07-30T05:07:28;17.30;85.40
3660;DHT22;1846;51.482;7.224;2021-07-30T05:09:54;17.40;44.00
3660;DHT22;1846;51.482;7.224;2021-07-30T05:12:21;17.40;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T05:14:48;17.30;51.80
3660;DHT22;1846;51.482;7.224;2021-07-30T05:17:15;17.30;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T05:19:41;17.30;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T05:22:08;17.40;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T05:24:37;17.50;18.40
3660;DHT22;1846;51.482;7.224;2021-07-30T05:27:04;17.40;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T05:29:31;17.40;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T05:31:58;17.40;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T05:34:25;17.50;22.00
3660;DHT22;1846;51.482;7.224;2021-07-30T05:36:51;17.50;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T05:39:18;17.50;76.90
3660;DHT22;1846;51.482;7.224;2021-07-30T05:41:46;17.50;19.10
3660;DHT22;1846;51.482;7.224;2021-07-30T05:44:13;17.60;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T05:46:40;17.60;22.60
3660;DHT22;1846;51.482;7.224;2021-07-30T05:49:06;17.60;22.20
3660;DHT22;1846;51.482;7.224;2021-07-30T05:51:33;17.80;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T05:54:00;17.70;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T05:56:27;17.90;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T05:58:56;17.90;1.00
